location,ocurrence
Bahamas,13
Colombia,13
Caribe,12
Martinica,9
Cartagena,9
Panamá,7
San Andrés,7
Santa Marta,5
Caribbean,4
Belice,3
Little San Salvador,2
Jamaica,2
Bocatora Hole,2
Curazao,2
Gran Caribe,2
mar Caribe,2
Suramérica,2
Pointe Lezarde,2
DC,1
Isla Barú,1
archipiélago San Andrés,1
Centroamérica,1
océano Atlántico,1
INVEMAR,1
Puerto Rico,1
Barbados,1
Cayo Bolivar,1
archipiélago de San Andrés,1
San Bernardo,1
Providencia,1
Isla Pretelt,1
EEUU,1
Cuba,1
Manatee Cay,1
Bahía de Cartagena,1
Caribbean Sea,1
Isla Pavitos,1
Cozumel - Méjico,1
Mar Caribe,1
Islas Bahamas,1
Holanda,1
Pelican Cays,1
Islas del Rosario,1
Varadero,1
Serrana,1
Les Anses d ’ Arlet,1
Sede Caribe,1
Punta de Betín,1
Sede Bogotá,1
Leiden,1
San Salvador,1
Washington,1
Archipiélago de San Andrés y Providencia,1
Grande Anse,1
Islas Antillas,1
