scientific_name,ocurrence
Petrosia,37
Xestospongia,13
Petrosia (Strongylophora) davilai,8
Xestospongia arenosa,8
Strongylophora,6
Xestospongia deweerdtae,5
Petrosiidae,4
Coanosoma,4
Plakortis,4
Plakortis spp.,4
Xestospongia deweertae Lehnert,3
Xestospongia purpurea Rützler,3
Petrosia (Petrosia) pellasarca,3
Petrosia (Petrosia) weinbergi,3
SISTEMÁTICA Phylum,2
Ectosoma,2
Biodiversidad,2
forma asociada a Plakortis,2
Porífera,2
Xestospongia arenosa por localidad,2
X. rosariensis,2
X. próxima,2
Petrosia (Petrosia) incrustata,2
Petrosia (Petrosia) massiva Lehnert,2
Xestospongia purpurea,2
Strongylophora davilai Alcolado,2
Heteroscleromorpha Cárdenas,2
Petrosia davilai,2
Safranina saturada etanol,2
Xestospongia por Zea,2
Haplosclerida Topsent,2
Porifera,2
Xestospongia de Laubenfels,2
"Xestospongia muta (Schmidt, 1870)",2
Plakortis sp.,2
Neopetrosia,2
"Petrosia (Petrosia) cretácea (Schmidt, 1870",2
Haplosclerida,2
Pellina carbonaria,2
X. subtriangularis,2
Demospongiae Sollas,2
Cartagena,2
Sponges,2
derecha,2
Familia Petrosiidae van Soest,2
Subgénero,1
"Xestospongia sp.-""whitish thick encrustation",1
Xestospongia portoricensis van Soest,1
Xestospongia arenosa van Soest,1
Petrosia (Strongylophora) hartmani,1
Calcarea,1
Xestospongia wiedenmayeri van Soest,1
Demospongiae,1
Xestospongia sp.-thin pink,1
"Xestospongia grayi (Hechtel, 1983",1
Petrosia (Strongylophora) stoneae,1
Demospongia,1
Género Petrosia Vosmaer,1
Xestospongia muta (Schmidt,1
P. (S.) hartmani,1
Otras especies ubicadas,1
Subgénero Strongylophora Dendy,1
FAMILIA PETROSIIDAE,1
Petrosia davilai por localidad,1
World Porifera,1
Hexactinellida,1
Haliclona strongylophora Lehnert,1
Petrosia (Petrosia) weinbergi van Soest,1
Xestospongia bocatorensis Diaz,1
Haplosclerida tiene,1
Plakortis sp comparando,1
Demospongiae fueron descritas,1
Xestospongia caminata Pulitzer-Finali,1
Petrosia por,1
HAPLOSCLERIDA,1
Xestospongia sp.2;,1
X. wiedenmayeri,1
Heteroscleromorpha,1
Xestospongia deweerdtae Lehnert,1
Xestospongia rampa,1
P. (S.) stoneae,1
Acropora cervicornis,1
Xestospongia menzeli,1
X. rampa fue sinonimizada,1
Strongylophora Dendy,1
CLASE DEMOSPONGIAE,1
Homoscleromorpha,1
Petrosina,1
P. (S.),1
Porifera Grant,1
Petrosia Vosmaer,1
Petrosia (Strongylophora) dendyi (Hechtel,1
Lámina 1A-C,1
X. muta por Zea,1
"Petrosia (Strongylophora) dendyi (Hechtel, 1969)",1
