scientific_name,ocurrence
L. racemosa,14
A. germinans,9
C. erectus,8
Oxígeno disuelto,6
P. juliflora,6
Arena muy fina,5
Laguncularia racemosa,5
Ricinus communis,4
Arbusto,4
Avicennia germinans,4
Arena levemente gravosa,4
Calotropis procera,4
Fabaceae,4
Cordia dentata,3
Senegalia,3
Dominancia relativa,3
Combretaceae,3
Frecuencia relativa,3
Guazuma ulmifolia,3
Belleza paisajística,3
C. alba,3
Apocynaceae,2
Erythroxylaceae,2
higuerilla,2
Árbol mangle L.,2
Mangle rojo,2
Thymelaeaceae,2
Ipomoea pes-caprae,2
Vachellia macracantha,2
Conocarpus erectus,2
Grava muy fina,2
TERRITORIOS AGRÍCOLAS,2
Protección costera,2
Gentianales,2
Pastos enmalezados,2
Melastomataceae,2
Rhizophora mangle,2
Herbazal abierto arenoso,2
Arena media Arena fina,2
Sporobolus Poales,2
Cecropia sp.,2
Rhizophoraceae,2
Aromo Arbusto,2
Limo muy grueso,2
Herbácea,2
Cynophalla hastata,2
Erythroxylum sp.,2
V. tortuosa,2
Sapotaceae,2
Malpighiales,2
Pasto salitre,2
Prosopis juliflora,2
Prosopis,2
Asteraceae,2
Rhizophora,2
Poaceae virginicus (L.),2
Senna sp,2
trupillos,2
Arbolito,2
Temperatura in situ portátil,2
Sporobolus virginicus,2
Composición florística,2
Pantanos costeros,2
Vachellia,2
Crescentia cujete,2
Euphorbiaceae,2
Arena gruesa,2
Lamiaceae,2
Onagraceae ubicadas,2
Higuerilla Arbusto L.,2
Flujos hídricos,2
Limo grueso,2
Erythroxylum sp,2
Arena muy gruesa,2
Elaeis guineensis,1
Limo muy fino,1
Mangle negro germinans (L.) L.,1
Árbol,1
Tachuelo,1
Árbol mangle bobo,1
Trupillo,1
Brassicales,1
Malvaceae,1
Elaeis guineensis Árbol,1
racemosa (L.),1
Sólidos Suspendidos Totales,1
Boraginaceae,1
Arena fina,1
Árbol courbaril L.,1
Lamiales,1
Convolvulaceae,1
Malvales,1
Composición granulométrica detallada,1
Dividivi,1
Arecaceae,1
Typha dominguensis,1
Senna sp.,1
Capparaceae,1
Musa paradisiaca L.,1
R. mangle,1
Acacia tortuosa,1
Collage imágenes,1
CLÁUSULA DERECHOS DE AUTOR,1
C. hastata,1
Totumo Arbolito,1
guácimos,1
Arena media,1
tala selectiva,1
Árbol Myrtales,1
Arbustal abierto esclerófilo,1
bananeras,1
S. polyphylla,1
Herbazal abierto,1
Playa Salguero,1
Escala establecida,1
Fabales,1
Lemna sp.,1
Mangle amarillo,1
Musa sapientum L.,1
Tierras desnudas,1
Vachellia tortuosa,1
Medición potenciométrica,1
Hymenaea,1
Guazuma ulmifolia Guásimo,1
Arbusto polyphylla DC,1
Mangle zaragoso erectus L.,1
Ipomoea pes- Solanales,1
Euforbiace,1
Caesalpinia coriaria (Jacq.) Willd.,1
ÁREAS HÚMEDAS,1
Capparaceae hastata (Jacq.) Arbusto,1
Arena lodosa levemente gravosa,1
Otros cultivos permanentes arbóreos,1
Hymenaea courbaril,1
Abundancia relativa,1
Capparaceae hastata (Jacq.),1
Laguncularia,1
Pistia stratiotes,1
mangle amarillo,1
Hábito,1
Arbolito (L.) Willd.,1
Conocarpus Arbusto,1
A. germinans sólo,1
Acacia macracantha,1
"Prosopis juliflora - Arbusto, Árbol (Sw.)DC.",1
Prosopis juliflora DC.,1
Preocupación menor”,1
Musaceae,1
Herbácea caprae B(L.),1
Isaza Yeimy,1
TERRITORIOS ARTIFICIALIZADOS,1
Palma africana Jacq. solitaria,1
Bignoniaceae,1
Acanthaceae,1
Boraginales,1
Algarrobo,1
Senegalia polyphylla,1
riparia arbustiva intervenida,1
Densidad relativa,1
Cynophalla,1
Arbolito Willd,1
Palma Arecales,1
Licero-Villanueva,1
microtsunamis,1
