scientific_name,ocurrence
Sardinella aurita,24
Scomber japonicus,11
cachorreta,4
sardina,4
Vertebrata,4
Actinopterygii,4
CHORDATA,4
Aleta pélvica,3
Clupeiformes,2
Perciformes,2
Longitud cabeza,2
Scomber,2
Clupeidae,2
Sardinella aurita Valenciennes,2
Sardinella,2
Scomber japonicus Houttuyn,2
Subdirectora Administrativa (SRA),1
Especie pelágica costanera,1
Scombridae Género,1
Scombridae,1
forma cardúmenes,1
Oxígeno disuelto,1
Guajira colombiana,1
Cuerpo subcilíndrico,1
Forma cardúmenes,1
Abdomen gris azulado,1
