scientific_name,ocurrence
Playa Blanca,15
Dinoflagelados,4
Cianobacterias,4
Rangos históricos,3
Diatomeas,3
Playa blanca,2
Medición electrométrica acoplada a sonda,2
Myrionecta,1
Medición potenciométrica,1
Hidrocarburos,1
Mesodinium cf. rubrum hallados,1
Bacterias indicadoras,1
SANTA MARTA,1
Mesodinium rubrum,1
Ciliados fotosintetizadores,1
Muelle cabotaje,1
termocupla acoplada a sonda portátil,1
Mesodinium,1
Medición potenciométrica con sonda portátil,1
Mesodinium cf.,1
Medición electrométrica,1
Mesodinium rubrum (células/L),1
