scientific_name,ocurrence
Cnidaria,4
Nematoda,4
Echiurida,4
Foraminifera,4
Echinodermata,4
Nemertea,4
Hemichordata,4
Millepora alcicornis,4
Siderastrea siderea,3
Chordata,3
Brachiopoda,3
Oculina diffusa,2
Vasum muricatum,2
Pseudodiploria strigosa,2
Isostichopus sp...............................................................................................,2
Cassiopea sp.,2
época lluviosa (Ll),2
Oreaster reticulatus,2
"Playa angosta, gravosa",2
Fasciolaria tulipa,2
Thalassia testudinum,2
Agaricia agaricites,2
Porites porites,2
Favia fragum,2
Pseudodiploria clivosa,2
Colpophyllia natans,2
Lytechinus variegatus,2
Siderastrea radians,2
Avicennia germinans,2
Porites astreoides,2
Echinaster sp,2
Orbicella annularis,2
Platyhelminthes,2
Playa extensa,2
Playa estación P2,1
B. maritima,1
Playa estación P4,1
Mithrax sp Paguridae,1
Playa estación P5,1
SALIDA DE CAMPO,1
CALIDAD DE AGUAS Y SEDIMENTOS,1
Rhizophora mangle,1
Playa Ipari,1
Laguncularia racemosa,1
PUERTO BOLÍVAR,1
Playa extensa vista,1
Paguridae,1
Mithrax sp,1
SALIDA DE,1
MACROINFAUNA BENTÓNICA DE FONDOS,1
ANÁLISIS MINERALÓGICO,1
A. germinans,1
Materia orgánica,1
Arena gruesa,1
Lancha Pristis del INVEMAR,1
Bryozoa,1
ATRIBUTOS ECOLÓGICOS,1
Pastos marinos,1
Syringodium filiforme,1
