location,ocurrence
Santa Catalina,33
Providencia,24
Cayo Serrana,15
Isla de Providencia,9
San Andrés,5
Cayo Bolívar,4
Isla de San Andrés,4
Caribe,4
Archipiélago de San Andrés,3
Cayo Roncador,3
Cuenca Caimán,2
Islas Vírgenes,2
Colombia,2
Medellín,1
Isla de Saint John,1
Brasil,1
cayo Bolívar,1
East South East Cays,1
Isla,1
Estados Unidos,1
Reserva de Biosfera,1
Sargassum,1
Cayo Albuquerque,1
Islas Vírgenes Americanas,1
Galveston,1
Lazy Hill,1
Cayo Bolivar,1
Venezuela,1
Texas,1
USA,1
Caribe Occidental,1
Este de la Florida,1
South West Bay,1
Serrana,1
