scientific_name,ocurrence
Avicennia germinans,7
Anadara similis,7
Anadara tuberculosa,7
Rhizophora mangle,6
R. mangle,4
Coralina,4
Laguncularia racemosa,4
A. germinans,4
Mollusca,3
La Guajira,2
CAUCA,2
Guajira colombiana,2
Megalops atlanticus,2
black mangrove,2
Agrobacterium sp.,2
Pacífica colombiana,2
Crustacea,2
CORDOBA PROPUESTA PARA,2
Articulo que relata,2
L. racemosa,2
Annelida,2
Neoteredo reynei,2
Centropomus undecimalis,2
Banana Crop,2
GUAJIRA COBERTURA,1
CORDOBA APROXIMACIÓN,1
CÓRDOBA-COLOMBIA,1
CORDOBA DMI_Cispata_Cordoba Rojas&Sierra,1
Caribe colombiana,1
BAJA GUAJIRA COLOMBIANA Programa,1
CORDOBA DINÁMICA,1
ASOCIADAS,1
Memorias talleres Manglares,1
Laguncularia racemos,1
LA GUAJIRA FENOLOGÍA REPRODUCTIVA,1
Rhizophora mangle L.,1
CORDOBA CARACTERIZACION,1
GUAJIRA Acuerdo,1
Anadara,1
BAJA GUAJIRA Josuma,1
Pacífico chocoano,1
Bivalvia,1
Avicennia germinans L.,1
OCEANOS,1
GUAJIRA RECOMENDACIONES,1
GUAJIRA FENOLOGÍA,1
P. Gutiérrez,1
tierra caribe Rivera M.,1
G. serrano,1
GUAJIRA DINÁMICA,1
taxocenosis,1
Memorias talleres Guapi,1
CORDOBA MANGLARES,1
Uraba,1
GUAJIRA INVESTIGACIÓN HIDROLÓGICA,1
tierra caribe Rivera,1
CORDOBA CONCEPTO,1
Hidrografica afectando,1
