location,ocurrence
La Guajira,59
Caribe,58
Manaure,39
Chocó,32
Colombia,25
Guajira,23
Pinorroa,21
Cabo de la Vela,16
Chocó Caribe,13
Triganá,10
Cabo de La Vela,9
Titumate,9
golfo de Urabá,8
Ballenas,8
Mayapo,7
Riohacha,7
Puerto Bolívar,7
Media Guajira,6
Golfo de Urabá,6
Acandí,5
Darién,5
Alta Guajira,4
Sierra Nevada de Santa Marta,4
Atlántico,4
Magdalena,3
Panamá,3
Baja Guajira,3
El Cabo de la Vela,2
Azores,2
Puerto Velero,2
La Vela,2
Cartagena,2
Choco Caribe,2
Puerto López,2
Mar Caribe,2
Sucre,2
Cuenca Colombia,2
Falla de Oca,2
Departamento de la Guajira,2
Pacífico,2
Parque Nacional Natural Tayrona,2
Atlántico Norte,2
Jamaica,2
Urabá,2
península de la Guajira,2
Santa Marta,2
Antillas,2
Vela,2
Archipiélago de San Andrés,2
bahía Honda,2
Duarte,2
Tayrona,2
Bermudas,2
Aeropuerto Almirante Padilla,2
Norte,1
Laguna de Navío Quebrado,1
San Andrés,1
Barco de Investigaciones BI ANCON,1
Haití,1
Cuenca de Colombia,1
mar Caribe,1
Turbo,1
Córdoba,1
bahía de Pinorroa,1
Río Ranchería,1
bahía El Aguacate,1
océano Atlántico,1
Bolívar,1
Suramericana,1
Gran Ecosistema Marino del Caribe,1
Cuisa,1
Salinas de Manaure,1
Costa Rica,1
Punta Gallina,1
NO,1
Las Lagunas,1
Ciénaga Grande de Santa Marta,1
Pájaro,1
África,1
Kogi,1
Sotavento,1
San Blas,1
República,1
Cabo de la de la Vela,1
Reino Unido,1
Venezuela,1
Providencia,1
Baja,1
Punta San Bernardo,1
Isla Fuerte,1
Cuenca,1
rio Magdalena,1
bahía Portete,1
SE,1
bahía Titumate,1
rio Orinoco,1
Atrato,1
Veranillo de San Juan,1
Serranía del Darien,1
Agua Superficial del Caribe,1
Canal de la Aguja,1
Caribe Colombia,1
Soledad,1
Bahamas,1
Nazca,1
Trópico de Cáncer,1
SO,1
San Francisco,1
Agua Central del Atlántico Norte,1
playa Soledad,1
Brasil,1
Litoral Caribe,1
Dibulla,1
bahía Triganá,1
Palomino,1
Playa Salguero – Rodadero,1
Río Atrato,1
Sur América,1
Golfo de México,1
Hess,1
Sinú,1
Guadalupe,1
