scientific_name,ocurrence
Muestra biológica,108
T. testudinum,28
Muestra biológica Zooplancton,13
Exocoetidae,12
Balistidae,11
Muestra biológica Oceanográfica,11
Sula dactylatra,11
Sula leucogaster,8
Muestra biológica Ictioplancton,8
Muestra biológica Bentos,8
Págalo pomarino,8
Fregata magnificens,7
Cathartes aura,6
Anatidae,6
Charadriiformes,6
Hirundo rustica,6
Stenella sp.,6
Caracara cheriway,6
Muestra biológica Nutrientes,6
Clorofila,6
Procellaridae,5
D. profundidad,5
Leucophaeus atricilla,5
Pelecanus occidentalis,5
Pandion haliaetus,5
Carangidae,5
Hirundinidae,5
Stercorariius pomarinus,5
Sparisoma radians,4
Haemulon aurolineatum,4
Coryphaena hippurus,4
Thalasseus maximus,4
S. filiforme D.,4
Phaethon aethereus,4
Promedio ponderado,4
Águila pescadora,4
Golondrina tijereta,4
Rabijunco etéreo,4
Características geomorfológicas,4
Trachycineta albiventer,4
Globicephala macrorhynchus,4
Stercorarius,3
Petrel,3
Halichoeres pictus,3
T. testudinum B.70,3
Sula sp.,3
Alta Guajira,3
Passeriformes,3
Sulidae,3
Stenella frontalis,3
Thalasseus sp.,3
Delphinidae,3
Stercorariius sp.,3
Avifauna perteneciente,3
Himantopus mexicanus,3
S. pomarinus,3
Fregata magnífica,3
Thalasseus sandvicensis,3
Lutjanus mahogoni,3
S. filiforme C.,3
Anas discors,3
Labyrinthula sp.,3
Suliformes,3
Fregatidae,3
Nutrientes,3
Corypahaena hippurus,2
Accipitriformes,2
Muestra biológica Ejecutada,2
Globicephala macrorhynchus Calderón,2
Haemulon aurolineatum juvenil,2
Vadeadora Zambullidor,2
Abudefduf saxatilis,2
Oligoplites saurus,2
Punta Goleta,2
Zona marino-costera,2
Tetradontiformes,2
Sphoeroides splengeri (der.).......,2
biomasa fitoplanctónica,2
S. leucogaster,2
Beloniformes,2
Caracterización hidrodinámica,2
Bubulcus ibis,2
Aves acuáticas migratorias,2
Área desembarco B.,2
Stegastes sp.,2
Sparisoma atomarium,2
Lytechinus variegatus,2
Procelariiformes,2
Thalasseus,2
Laridae,2
Halichoeres garnoti,2
Fregata,2
Muestra biológica Clorofila,2
L magnifiscens,2
Scombridae,2
Ocyurus chrysurus,2
Himantopus mexicanus (Izq.),2
Charadriiforme,2
Cetácea,2
Stercorarius pomarinus,2
Perciformes,2
Figura,2
Lariidae,2
Caranx bartholomaei,2
Hs mensual,2
Clupeidae,2
Aves marinas,2
Anseriformes,2
Ubicación geográfica,2
Sphyraena barracuda,2
Coryphaeni,2
ANADARKO,2
Caranx crysos,2
Manicina areolata,2
Engraulidae,2
Eucinostomus melanopterus,2
Fragata magnífica,2
Coryphopterus dicrus,2
Piquero enmascarado,2
Mugil curema,2
Scarus sp.,2
Fregata magnifiscens,2
Stenella attenuata,2
Scorpaena plumierii,2
Foto pescadores,2
Pelecaniformes,2
Cathartidae,2
Caracterización geomorfológica,2
Eucinostomus sp.,2
Gerres cinereus,2
golondrina tijereta,1
Thalasseus maximus (Sup.),1
Chaetidopterus faber C,1
Gaviotín patinegro,1
Trachycineta,1
Piquero,1
Gaviotín LC,1
Pandionidae,1
Ictioplancton,1
Piquero Sula sp.,1
Sula leucogaster (Der,1
Ardeidae,1
Pardela,1
LC M e pomarinus,1
Sula leucogaster (Der.),1
Tormenta tropical Ida,1
Syringodium filiforme,1
LC M e aethereus,1
Gymnothorax moringa C,1
Petrochirus diógenes,1
Stercorariida,1
LC M-L enmascarado,1
Gaviota,1
Scaridae,1
Sphoeroides splengeri,1
Sphoeroides testudineus,1
Rizhophora mangle,1
